sample	cell_type	score	ptile
IRIS_0015_01_LB01-01	T cell CD8+	0.082805761	70.58823529
IRIS_0020_01_LB01-01	T cell CD8+	0.089075924	71.42857143
IRIS_0021_03_LB01-01	T cell CD8+	0	0
IRIS_0023_03_LB03-01	T cell CD8+	0.000740645	16.80672269
IRIS_0025_03_LB03-01	T cell CD8+	0.158771651	86.55462185
IRIS_0028_01_LB01-01	T cell CD8+	0.131546985	84.03361345
IRIS_0031_01_LB01-01	T cell CD8+	0.077460133	68.06722689
IRIS_0032_04_LB01-01	T cell CD8+	0.161113633	86.55462185
IRIS_0033_01_LB01-01	T cell CD8+	0.203542631	94.11764706
IRIS_0034_04_LB01-01	T cell CD8+	0.215747021	95.79831933
IRIS_0035_04_LB01-01	T cell CD8+	0.346299081	100
IRIS_0036_01_LB03-01	T cell CD8+	0.057662911	61.34453782
IRIS_0038_04_LB01-01	T cell CD8+	0.115347332	78.99159664
IRIS_0040_03_LB01-01	T cell CD8+	0	0
IRIS_0046_03_LB01-01	T cell CD8+	0	0
IRIS_0048_01_LB01-01	T cell CD8+	0.044219891	55.46218487
IRIS_0050_01_LB01-01	T cell CD8+	0.010087476	23.52941176
IRIS_0052_01_LB01-01	T cell CD8+	0.047019459	56.30252101
IRIS_0052_03_LB01-01	T cell CD8+	0.111425448	78.99159664
IRIS_0054_01_LB02-01	T cell CD8+	0	0
IRIS_0055_01_LB01-01	T cell CD8+	0.031436766	40.33613445
IRIS_0057_01_LB01-01	T cell CD8+	0	0
MOHCCNO_0001_02_LB02-01	T cell CD8+	0.180552467	88.23529412
MOHCCNO_0002_02_LB01-01	T cell CD8+	0.130067322	84.03361345
MOHCCNO_0004_02_LB02-01	T cell CD8+	0	0
MOHCCNO_0005_02_LB02-01	T cell CD8+	0.022330156	30.25210084
MOHCCNO_0008_02_LB02-01	T cell CD8+	0.048977242	58.82352941
MOHCCNO_0009_02_LB05-01	T cell CD8+	0	0
MOHCCNO_0010_02_LB03-01	T cell CD8+	0.017233022	26.05042017
MYC_0001_02_LB02-01	T cell CD8+	0.029631237	36.97478992
MYC_0002_02_LB02-01	T cell CD8+	0.007870859	22.68907563
MYR_0066_01_LB02-01	T cell CD8+	0.026282184	35.29411765
MYR_0127_01_LB02-01	T cell CD8+	0.042364514	51.2605042
MYR_0159_01_LB02-01	T cell CD8+	0	0
OCT_010003_Lu_P_PE_310_WT	T cell CD8+	0	0
OCT_010022_Lu_M_PE_275_WT	T cell CD8+	0.05865126	61.34453782
OCT_010093_Lu_P_PE_304_WT	T cell CD8+	0.005326461	20.16806723
OCT_010102_Lu_M_PE_298_WT	T cell CD8+	0.060716941	63.02521008
OCT_010118_Ut_P_PE_297_WT	T cell CD8+	0.177581869	87.39495798
OCT_010221_Om_M_nn_1-1_LB01-01	T cell CD8+	0.219129029	95.79831933
OCT_010250_Fa_M_PE_308_WT	T cell CD8+	0.05780549	61.34453782
OCT_010258_Ut_P_PE_328_WT	T cell CD8+	0	0
OCT_010266_Ov_P_PE_277_WT	T cell CD8+	0.001889639	17.64705882
OCT_010279_Fa_P_nn_1-1_LB01-01	T cell CD8+	0	0
OCT_010356_Ov_P_nn_1-1_LB01-01	T cell CD8+	0	0
OCT_010359_Ov_P_nn_1-1_LB01-01	T cell CD8+	0	0
OCT_010384_Ov_P_PE_296_WT	T cell CD8+	0.086478426	71.42857143
OCT_010395_Ov_P_nn_1-1_LB01-01	T cell CD8+	0.207852156	94.11764706
OCT_010434_Ov_P_nn_1-1_LB01-01	T cell CD8+	0.082416864	70.58823529
OCT_010457_Om_M_nn_1-1_LB01-01	T cell CD8+	0.161144001	86.55462185
OCT_010464_Ov_P_nn_1-1_LB01-01	T cell CD8+	0.123209141	81.51260504
OCT_010472_Om_M_PE_306_WT	T cell CD8+	0.045632533	56.30252101
OCT_010472_Om_M_PE_307_WT	T cell CD8+	0.026734191	35.29411765
OCT_010483_Vg_M_PE_293_WT	T cell CD8+	0.025479324	33.61344538
